16, [NaN, NaN, NaN]
17, [0.071756511926651, -0.09908038377761841, 0.7105000615119934]
0, [-0.0492851585149765, -0.0749257355928421, 0.6215000152587891]
1, [0.050703369081020355, 0.10898907482624054, 0.6607500314712524]
2, [-0.10860253125429153, 0.14236602187156677, 0.796750009059906]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.1953546553850174, 0.08201099932193756, 0.6075000166893005]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06512764096260071, -0.10936527699232101, 0.6625000238418579]
15, [-0.00691043259575963, -0.11362209171056747, 0.6415000557899475]
16, [NaN, NaN, NaN]
17, [0.07233723253011703, -0.09988223016262054, 0.7162500619888306]
0, [-0.04517311602830887, -0.07494533807039261, 0.6217500567436218]
1, [0.05108705163002014, 0.10981380939483643, 0.6657500267028809]
2, [-0.1082276925444603, 0.14187465608119965, 0.7940000295639038]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.1990722119808197, 0.08593136817216873, 0.6062500476837158]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.061354704201221466, -0.11050350964069366, 0.6695000529289246]
15, [-0.0034240325912833214, -0.11578948050737381, 0.6537500023841858]
16, [NaN, NaN, NaN]
17, [0.0772930234670639, -0.10014179348945618, 0.718000054359436]
0, [-0.04152275621891022, -0.07866162061691284, 0.6185000538825989]
1, [0.05137481167912483, 0.11043236404657364, 0.6695000529289246]
2, [-0.10955668240785599, 0.14361681044101715, 0.8037500381469727]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.19946226477622986, 0.0820315033197403, 0.6075000166893005]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06183582544326782, -0.1113700345158577, 0.674750030040741]
15, [0.000903028529137373, -0.1139281764626503, 0.643250048160553]
16, [NaN, NaN, NaN]
17, [0.08096601814031601, -0.09977179020643234, 0.7152500152587891]
0, [-0.04568169638514519, -0.07578910887241364, 0.6287500262260437]
1, [0.05491792783141136, 0.11454219371080399, 0.6672500371932983]
2, [-0.10879924893379211, 0.14705438911914825, 0.7980000376701355]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.2003856897354126, 0.08649834245443344, 0.6102500557899475]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06112559512257576, -0.11009087413549423, 0.6670000553131104]
15, [-0.0034253420308232307, -0.11583376675844193, 0.6540000438690186]
16, [NaN, NaN, NaN]
17, [0.08102262020111084, -0.09984153509140015, 0.7157500386238098]
0, [-0.04524577036499977, -0.07506587356328964, 0.6227500438690186]
1, [0.05136941745877266, 0.1148734912276268, 0.6692500114440918]
2, [-0.1090114563703537, 0.14290207624435425, 0.799750030040741]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20005729794502258, 0.08635658770799637, 0.609250009059906]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
